codetype,code,text,
municipalno,909,"Nuuk (Godthåb)",
municipalno,911,"Sisimiut (Holsteinsborg)",
municipalno,913,"Ivittuut (Ivigtut)",
municipalno,915,"Ilulissat (Jakobshavn)",
municipalno,917,"Qaqortoq (Julianehåb)",
municipalno,919,"Kangaatsiaq",
municipalno,921,"Nanortalik",
municipalno,923,"Narsaq",
municipalno,925,"Maniitsoq (Sukkertoppen)",
municipalno,927,"Umanak",
municipalno,929,"Upernavik",
municipalno,941,"Avanersuup (Thule)",
municipalno,951,"Tasiilap (Ammassalik)",
municipalno,953,"Ittoqqortoormiit(Scoresbysund)",
municipalno,999,"Udland",
